pcode_district,provisional_licences_male,provisional_licences_female,provisional_total,full_licences_male,full_licences_female,full_total,file_date
M35,1386,1625,3011,6792,5737,12529,2021-03-01
M38,1230,1646,2876,3663,2752,6415,2021-03-01
M39,0,1,1,1,0,1,2021-03-01
M40,4695,5511,10206,11919,8582,20501,2021-03-01
M41,2033,2283,4316,14888,13992,28880,2021-03-01
M43,1542,2113,3655,7710,6190,13900,2021-03-01
M44,1156,1470,2626,6642,5649,12291,2021-03-01
M45,1401,1704,3105,7728,7024,14752,2021-03-01
M46,1226,1487,2713,7479,6291,13770,2021-03-01
M47,1,0,1,0,0,0,2021-03-01
M50,390,380,770,1561,954,2515,2021-03-01
M51,0,0,0,1,0,1,2021-03-01
M52,0,0,0,1,0,1,2021-03-01
M54,0,0,0,1,0,1,2021-03-01
M60,38,16,54,61,14,75,2021-03-01
M61,0,0,0,1,1,2,2021-03-01
M70,4,0,4,4,1,5,2021-03-01
M73,0,0,0,1,0,1,2021-03-01
M74,0,0,0,2,0,2,2021-03-01
M87,0,1,1,0,0,0,2021-03-01
M90,1,0,1,1,0,1,2021-03-01
ME01,1924,2380,4304,11232,9765,20997,2021-03-01
ME02,2420,3027,5447,14923,12887,27810,2021-03-01
ME03,1175,1412,2587,11440,10561,22001,2021-03-01
ME04,3072,3294,6366,10047,7268,17315,2021-03-01
ME05,2645,3480,6125,18867,16663,35530,2021-03-01
ME06,536,688,1224,3994,3697,7691,2021-03-01
ME07,4171,5101,9272,16744,13373,30117,2021-03-01
ME08,2299,2772,5071,18423,16775,35198,2021-03-01
ME09,885,989,1874,9015,8351,17366,2021-03-01
ME10,2914,3417,6331,17318,15012,32330,2021-03-01
ME11,295,373,668,1216,972,2188,2021-03-01
ME12,2289,2896,5185,13846,11495,25341,2021-03-01
ME13,1441,1716,3157,10105,9334,19439,2021-03-01
ME14,1637,1806,3443,12280,10511,22791,2021-03-01
ME15,2826,3404,6230,18382,15769,34151,2021-03-01
ME16,1685,2111,3796,12068,10421,22489,2021-03-01
ME17,871,976,1847,10528,9700,20228,2021-03-01
ME18,244,271,515,2947,2749,5696,2021-03-01
ME19,817,978,1795,9275,9159,18434,2021-03-01
ME20,873,1000,1873,8004,7556,15560,2021-03-01
ME21,0,0,0,1,0,1,2021-03-01
ME22,0,0,0,1,0,1,2021-03-01
ME24,0,1,1,2,4,6,2021-03-01
ME37,0,0,0,0,1,1,2021-03-01
ME38,0,0,0,1,0,1,2021-03-01
ME50,0,0,0,1,0,1,2021-03-01
MK01,71,64,135,297,163,460,2021-03-01
MK02,1521,1956,3477,4983,3716,8699,2021-03-01
MK03,1518,1937,3455,9231,8189,17420,2021-03-01
MK04,1268,1579,2847,8196,7668,15864,2021-03-01
MK05,993,1137,2130,5604,5098,10702,2021-03-01
MK06,3837,4322,8159,9085,6236,15321,2021-03-01
MK07,860,1015,1875,5630,5090,10720,2021-03-01
MK08,809,1064,1873,5127,4546,9673,2021-03-01
MK09,596,496,1092,1410,701,2111,2021-03-01
MK10,1172,1483,2655,7235,6570,13805,2021-03-01
MK11,565,760,1325,3443,3096,6539,2021-03-01
MK12,1232,1447,2679,4767,3676,8443,2021-03-01
MK13,1686,1927,3613,6684,5318,12002,2021-03-01
MK14,1905,2259,4164,7560,5848,13408,2021-03-01
MK15,424,454,878,2750,2599,5349,2021-03-01
MK16,782,943,1725,7235,6755,13990,2021-03-01
MK17,591,669,1260,7900,7818,15718,2021-03-01
MK18,1634,1685,3319,12938,12454,25392,2021-03-01
MK19,416,476,892,4883,4637,9520,2021-03-01
MK20,0,1,1,0,0,0,2021-03-01
MK34,1,0,1,1,0,1,2021-03-01
MK40,3225,3158,6383,12166,9132,21298,2021-03-01
MK41,2501,2841,5342,15272,13918,29190,2021-03-01
MK42,3763,4947,8710,17729,14257,31986,2021-03-01
MK43,1563,1535,3098,15434,14915,30349,2021-03-01
MK44,489,519,1008,6734,6597,13331,2021-03-01
MK45,1674,1838,3512,18879,17962,36841,2021-03-01
MK46,286,358,644,3626,3511,7137,2021-03-01
ML01,3449,4414,7863,18537,15488,34025,2021-03-01
ML02,2445,2985,5430,12311,10258,22569,2021-03-01
ML03,3206,3963,7169,17456,14860,32316,2021-03-01
ML04,1564,2050,3614,6722,5469,12191,2021-03-01
ML05,3110,3877,6987,14264,11779,26043,2021-03-01
ML06,3177,4084,7261,18066,15435,33501,2021-03-01
ML07,808,1077,1885,5014,4193,9207,2021-03-01
ML08,737,1040,1777,7112,6554,13666,2021-03-01
ML09,1286,1735,3021,8037,7015,15052,2021-03-01
ML10,448,516,964,4357,4215,8572,2021-03-01
ML11,1438,1982,3420,12488,11127,23615,2021-03-01
ML12,251,427,678,3549,3264,6813,2021-03-01
N00,1,0,1,1,0,1,2021-03-01
N01,11450,12599,24049,25813,18798,44611,2021-03-01
N01C,97,143,240,274,198,472,2021-03-01
N01H,0,1,1,0,1,1,2021-03-01
N01N,0,1,1,0,0,0,2021-03-01
N01P,1,0,1,0,0,0,2021-03-01
N01W,0,0,0,0,1,1,2021-03-01
N02,2409,2620,5029,9043,8016,17059,2021-03-01
N02O,0,0,0,0,1,1,2021-03-01
N03,2678,2940,5618,11501,9812,21313,2021-03-01
N04,7965,7613,15578,15707,11009,26716,2021-03-01
N05,2720,2982,5702,7678,6167,13845,2021-03-01
N06,1618,1904,3522,7018,6270,13288,2021-03-01
N07,6536,6849,13385,13267,9225,22492,2021-03-01
N08,5165,5114,10279,13289,10609,23898,2021-03-01
N09,7690,8818,16508,15487,10901,26388,2021-03-01
N10,2758,3123,5881,9278,8188,17466,2021-03-01
N11,3347,3667,7014,10859,8242,19101,2021-03-01
N12,2946,3304,6250,12351,10373,22724,2021-03-01
N13,3657,3706,7363,12273,9358,21631,2021-03-01
N14,2305,2713,5018,12070,10094,22164,2021-03-01
N15,8925,7873,16798,13610,7922,21532,2021-03-01
N16,9859,9170,19029,17726,11883,29609,2021-03-01
N17,13193,12890,26083,18967,11602,30569,2021-03-01
N18,5346,5892,11238,9797,6524,16321,2021-03-01
N19,4581,5235,9816,9869,7677,17546,2021-03-01
N20,1504,1661,3165,8005,7318,15323,2021-03-01
N21,1451,1625,3076,8967,8212,17179,2021-03-01
N22,7100,6706,13806,14673,9695,24368,2021-03-01
NE01,975,718,1693,1852,822,2674,2021-03-01
NE02,1658,1442,3100,5483,4010,9493,2021-03-01
NE02O,0,0,0,1,0,1,2021-03-01
NE03,3171,3918,7089,17598,15314,32912,2021-03-01
NE04,5645,4764,10409,9370,4958,14328,2021-03-01
NE05,3310,4485,7795,14361,11094,25455,2021-03-01
NE06,4807,5393,10200,11779,8234,20013,2021-03-01
NE07,869,1080,1949,5182,4402,9584,2021-03-01
NE08,3390,3315,6705,8215,4891,13106,2021-03-01
NE09,2322,3052,5374,10969,8722,19691,2021-03-01
NE10,2489,3263,5752,9834,7220,17054,2021-03-01
NE11,992,1337,2329,5059,3934,8993,2021-03-01
NE12,2073,2767,4840,11405,9742,21147,2021-03-01
NE13,670,807,1477,6596,6231,12827,2021-03-01
NE15,2339,2975,5314,10098,7989,18087,2021-03-01
NE16,1058,1475,2533,8661,7595,16256,2021-03-01
NE17,277,351,628,1467,1220,2687,2021-03-01
NE18,24,28,52,384,368,752,2021-03-01
NE19,43,77,120,841,810,1651,2021-03-01
NE20,359,383,742,5073,5020,10093,2021-03-01
NE21,988,1334,2322,5624,4516,10140,2021-03-01
NE22,907,1108,2015,6012,5267,11279,2021-03-01
NE23,1977,2716,4693,13507,11571,25078,2021-03-01
NE24,2232,3079,5311,12465,10418,22883,2021-03-01
NE25,1310,1607,2917,10732,10026,20758,2021-03-01
NE26,925,994,1919,6797,6387,13184,2021-03-01
NE27,752,1046,1798,5043,4494,9537,2021-03-01
NE28,3353,4418,7771,13360,10474,23834,2021-03-01
NE29,2649,3287,5936,10133,8284,18417,2021-03-01
NE30,943,1120,2063,7778,7231,15009,2021-03-01
NE31,1400,1766,3166,6620,5455,12075,2021-03-01
NE32,1706,2230,3936,7288,5758,13046,2021-03-01
NE33,2368,2288,4656,7863,5561,13424,2021-03-01
NE34,3365,4352,7717,15356,12673,28029,2021-03-01
NE35,381,499,880,2060,1692,3752,2021-03-01
NE36,270,323,593,2425,2328,4753,2021-03-01
NE37,1431,1998,3429,5813,4560,10373,2021-03-01
NE38,1902,2537,4439,10654,9023,19677,2021-03-01
NE39,374,533,907,3027,2621,5648,2021-03-01
NE40,691,1025,1716,5298,4643,9941,2021-03-01
NE41,79,72,151,884,825,1709,2021-03-01
NE42,610,865,1475,4259,3895,8154,2021-03-01
NE43,125,153,278,1755,1732,3487,2021-03-01
NE44,28,26,54,413,420,833,2021-03-01
NE45,111,142,253,1390,1390,2780,2021-03-01
NE46,635,785,1420,5539,5293,10832,2021-03-01
NE47,259,304,563,3062,2913,5975,2021-03-01
NE48,128,185,313,1720,1534,3254,2021-03-01
NE49,162,274,436,1553,1247,2800,2021-03-01
NE55,0,0,0,1,0,1,2021-03-01
NE61,1232,1643,2875,12586,11766,24352,2021-03-01
NE62,439,577,1016,3142,2702,5844,2021-03-01
NE63,1785,2303,4088,8635,6938,15573,2021-03-01
NE64,364,505,869,1843,1433,3276,2021-03-01
NE65,697,915,1612,7794,7254,15048,2021-03-01
NE66,598,815,1413,6570,6053,12623,2021-03-01
NE67,25,18,43,369,373,742,2021-03-01
NE68,55,68,123,688,623,1311,2021-03-01
NE69,9,10,19,130,143,273,2021-03-01
NE70,58,73,131,690,665,1355,2021-03-01
NE71,88,117,205,1160,1059,2219,2021-03-01
NE99,4,0,4,4,0,4,2021-03-01
NG01,1207,1052,2259,2097,1128,3225,2021-03-01
NG01O,0,0,0,0,1,1,2021-03-01
NG02,4320,4648,8968,18382,15272,33654,2021-03-01
NG03,4200,5183,9383,14702,11370,26072,2021-03-01
NG04,2241,2914,5155,13723,11858,25581,2021-03-01
NG05,6149,8106,14255,27262,23147,50409,2021-03-01
NG06,3150,4286,7436,10497,8150,18647,2021-03-01
NG07,6315,5798,12113,10539,5635,16174,2021-03-01
NG08,5287,7142,12429,18884,14797,33681,2021-03-01
NG09,4267,4861,9128,24576,21189,45765,2021-03-01
NG10,2561,3148,5709,16271,14112,30383,2021-03-01
NG11,2475,3115,5590,12048,10017,22065,2021-03-01
NG12,1315,1586,2901,13160,12478,25638,2021-03-01
NG13,718,821,1539,8376,8080,16456,2021-03-01
NG14,610,770,1380,7446,7053,14499,2021-03-01
NG15,2019,2726,4745,15404,13554,28958,2021-03-01
NG16,2829,3643,6472,23060,20173,43233,2021-03-01
NG17,3992,4888,8880,24522,20742,45264,2021-03-01
NG18,2790,2993,5783,14408,12106,26514,2021-03-01
NG19,2733,3419,6152,18293,15511,33804,2021-03-01
NG20,1613,2176,3789,8856,6985,15841,2021-03-01
NG21,1013,1312,2325,8517,7654,16171,2021-03-01
NG22,1196,1476,2672,10368,9329,19697,2021-03-01
NG23,460,506,966,7480,7322,14802,2021-03-01
NG24,2604,3212,5816,16349,13789,30138,2021-03-01
NG25,312,358,670,3289,3294,6583,2021-03-01
NG31,2585,3245,5830,16014,13455,29469,2021-03-01
NG32,408,449,857,5459,5198,10657,2021-03-01
NG33,316,365,681,4019,3786,7805,2021-03-01
NG34,1676,1907,3583,15800,14684,30484,2021-03-01
NG36,0,0,0,1,0,1,2021-03-01
NG54,0,1,1,0,0,0,2021-03-01
NG56,0,0,0,1,0,1,2021-03-01
NN01,4247,3699,7946,10386,6439,16825,2021-03-01
NN02,3285,3387,6672,13827,10954,24781,2021-03-01
NN03,5551,6754,12305,26860,22373,49233,2021-03-01
NN04,2755,3269,6024,18369,16296,34665,2021-03-01
NN05,2728,3260,5988,14899,12166,27065,2021-03-01
NN06,1080,1180,2260,14813,14315,29128,2021-03-01
NN07,900,1029,1929,11929,11432,23361,2021-03-01
NN08,3891,4515,8406,18145,14489,32634,2021-03-01
NN09,1111,1339,2450,10767,9739,20506,2021-03-01
NN10,1806,2174,3980,14837,13295,28132,2021-03-01
NN11,1974,2508,4482,15280,13085,28365,2021-03-01
NN12,857,995,1852,10451,9756,20207,2021-03-01
NN13,694,832,1526,8377,7857,16234,2021-03-01
NN14,1500,1772,3272,17732,16639,34371,2021-03-01
NN15,1661,2051,3712,14530,13272,27802,2021-03-01
NN16,2393,2759,5152,10304,7688,17992,2021-03-01
NN17,2185,2547,4732,10949,8767,19716,2021-03-01
NN18,3058,3668,6726,12580,9942,22522,2021-03-01
NN28,1,0,1,0,0,0,2021-03-01
NN29,402,454,856,4443,4203,8646,2021-03-01
NO03,0,1,1,0,0,0,2021-03-01
NP00,0,0,0,0,1,1,2021-03-01
NP01,82,87,169,189,127,316,2021-03-01
NP01O,0,0,0,0,1,1,2021-03-01
NP02,29,26,55,110,62,172,2021-03-01
NP03,35,39,74,100,59,159,2021-03-01
NP04,1962,2628,4590,15646,13828,29474,2021-03-01
NP05,11,13,24,39,32,71,2021-03-01
NP06,32,30,62,127,73,200,2021-03-01
NP07,990,1204,2194,10089,9609,19698,2021-03-01
NP08,154,202,356,2097,2066,4163,2021-03-01
NP09,67,41,108,152,66,218,2021-03-01
NP10,1042,1272,2314,9233,8821,18054,2021-03-01
NP11,1861,2387,4248,12433,10606,23039,2021-03-01
NP12,1573,2024,3597,11387,10043,21430,2021-03-01
NP13,996,1404,2400,6361,5004,11365,2021-03-01
NP15,142,172,314,3185,3073,6258,2021-03-01
NP16,933,1117,2050,8980,8286,17266,2021-03-01
NP18,600,732,1332,6488,6119,12607,2021-03-01
NP19,4224,4960,9184,17248,13663,30911,2021-03-01
NP20,3850,4516,8366,16364,13048,29412,2021-03-01
NP21,0,0,0,1,0,1,2021-03-01
NP22,1207,1609,2816,6990,5731,12721,2021-03-01
NP23,1687,2240,3927,10772,8831,19603,2021-03-01
NP24,327,393,720,1409,1069,2478,2021-03-01
NP25,577,620,1197,6078,5729,11807,2021-03-01
NP26,841,1056,1897,8836,8119,16955,2021-03-01
NP42,0,0,0,1,0,1,2021-03-01
NP44,2618,3289,5907,16344,14278,30622,2021-03-01
NR00,0,0,0,0,1,1,2021-03-01
NR01,2098,2225,4323,8627,6606,15233,2021-03-01
NR02,1845,2120,3965,7792,6790,14582,2021-03-01
NR03,2824,3022,5846,10363,7955,18318,2021-03-01
NR04,1305,1514,2819,7050,6508,13558,2021-03-01
NR05,2122,2526,4648,8793,7348,16141,2021-03-01
NR06,950,1180,2130,9070,8131,17201,2021-03-01
NR07,1353,1615,2968,12376,11270,23646,2021-03-01
NR08,703,844,1547,8295,7949,16244,2021-03-01
NR09,524,616,1140,7237,7088,14325,2021-03-01
NR10,685,832,1517,9015,8619,17634,2021-03-01
NR11,580,714,1294,7212,6896,14108,2021-03-01
NR12,652,713,1365,8411,7822,16233,2021-03-01
NR13,795,889,1684,10846,10571,21417,2021-03-01
NR14,841,831,1672,10274,9999,20273,2021-03-01
NR15,477,562,1039,6245,6055,12300,2021-03-01
NR16,342,408,750,5088,4908,9996,2021-03-01
NR17,611,672,1283,6537,6054,12591,2021-03-01
NR18,717,834,1551,7359,7116,14475,2021-03-01
NR19,872,1054,1926,7183,6488,13671,2021-03-01
NR20,618,683,1301,7617,7231,14848,2021-03-01
NR21,545,682,1227,6181,5684,11865,2021-03-01
NR22,37,52,89,327,319,646,2021-03-01
NR23,125,138,263,1070,986,2056,2021-03-01
NR24,142,151,293,1724,1645,3369,2021-03-01
NR25,331,336,667,3207,3063,6270,2021-03-01
NR26,326,385,711,2881,2701,5582,2021-03-01
NR27,530,586,1116,4039,3714,7753,2021-03-01
NR28,694,771,1465,6251,5931,12182,2021-03-01
NR29,682,822,1504,8285,7639,15924,2021-03-01
NR30,2601,2693,5294,9062,6628,15690,2021-03-01
NR31,2774,3326,6100,16911,14424,31335,2021-03-01
NR32,2276,2503,4779,13332,11587,24919,2021-03-01
NR33,1860,2149,4009,13722,12299,26021,2021-03-01
NR34,758,936,1694,8436,7785,16221,2021-03-01
NR35,393,473,866,4166,3858,8024,2021-03-01
NW00,3,1,4,2,1,3,2021-03-01
NW01,7744,8404,16148,16129,10805,26934,2021-03-01
NW01H,0,1,1,0,0,0,2021-03-01
NW02,12359,10953,23312,25533,16740,42273,2021-03-01
NW03,5281,6128,11409,19448,16353,35801,2021-03-01
NW04,4203,4215,8418,13400,10139,23539,2021-03-01
NW05,3656,4206,7862,8239,6572,14811,2021-03-01
NW05O,0,1,1,0,0,0,2021-03-01
NW06,9298,9382,18680,22021,17028,39049,2021-03-01
NW07,2249,2657,4906,10726,9421,20147,2021-03-01
NW08,4321,5163,9484,12244,9374,21618,2021-03-01
NW09,10745,10583,21328,27492,18367,45859,2021-03-01
NW10,18846,17131,35977,30733,20174,50907,2021-03-01
NW11,3933,3802,7735,13848,12001,25849,2021-03-01
NW12,3,1,4,0,1,1,2021-03-01
NW13,0,1,1,2,1,3,2021-03-01
NW14,1,0,1,1,0,1,2021-03-01
NW15,0,0,0,2,0,2,2021-03-01
NW16,4,1,5,3,0,3,2021-03-01
NW17,0,0,0,2,1,3,2021-03-01
NW18,1,0,1,1,1,2,2021-03-01
NW19,0,1,1,1,1,2,2021-03-01
NW20,1,1,2,1,0,1,2021-03-01
NW21,1,0,1,0,0,0,2021-03-01
NW22,1,0,1,2,0,2,2021-03-01
NW24,1,0,1,0,0,0,2021-03-01
NW25,0,0,0,0,1,1,2021-03-01
NW26,1,1,2,0,0,0,2021-03-01
NW28,0,0,0,0,1,1,2021-03-01
NW41,1,0,1,0,0,0,2021-03-01
NW43,0,0,0,1,0,1,2021-03-01
NW44,2,0,2,0,0,0,2021-03-01
NW51,1,0,1,0,0,0,2021-03-01
NW70,1,0,1,0,0,0,2021-03-01
NW77,0,1,1,0,0,0,2021-03-01
NW96,0,0,0,1,0,1,2021-03-01
NW99,2,0,2,0,0,0,2021-03-01
OL00,1,0,1,0,0,0,2021-03-01
OL01,2297,2645,4942,6055,4374,10429,2021-03-01
OL01O,1,0,1,0,0,0,2021-03-01
OL02,2201,2652,4853,14244,12519,26763,2021-03-01
OL03,589,578,1167,5963,5765,11728,2021-03-01
OL04,3189,3869,7058,14231,11198,25429,2021-03-01
OL05,590,743,1333,3955,3505,7460,2021-03-01
OL06,2354,2798,5152,9162,6824,15986,2021-03-01
OL07,1300,1665,2965,5334,4029,9363,2021-03-01
OL08,3944,4879,8823,11590,7762,19352,2021-03-01
OL09,3372,3886,7258,12759,9560,22319,2021-03-01
OL10,2057,2488,4545,9154,7609,16763,2021-03-01
OL11,3465,4253,7718,14655,11641,26296,2021-03-01
OL12,2962,3648,6610,15214,12803,28017,2021-03-01
OL13,918,1130,2048,5532,4813,10345,2021-03-01
OL14,871,1157,2028,5190,4676,9866,2021-03-01
OL15,662,777,1439,5404,4879,10283,2021-03-01
OL16,2903,3429,6332,12137,9635,21772,2021-03-01
OX00,1,1,2,0,0,0,2021-03-01
OX01,1835,1523,3358,6038,4688,10726,2021-03-01
OX02,3311,3489,6800,13143,12037,25180,2021-03-01
OX03,3911,4613,8524,13376,11102,24478,2021-03-01
OX04,6680,6715,13395,17708,13489,31197,2021-03-01
OX05,1558,1588,3146,9012,8082,17094,2021-03-01
OX06,32,25,57,63,57,120,2021-03-01
OX07,951,1138,2089,9339,9045,18384,2021-03-01
OX08,47,44,91,137,105,242,2021-03-01
OX09,639,690,1329,5917,5677,11594,2021-03-01
OX10,1237,1394,2631,10247,9691,19938,2021-03-01
OX11,1873,2391,4264,15253,13603,28856,2021-03-01
OX12,1178,1429,2607,10743,9842,20585,2021-03-01
OX13,549,723,1272,6020,5702,11722,2021-03-01
OX14,2346,2713,5059,16663,14913,31576,2021-03-01
OX15,689,758,1447,8383,8245,16628,2021-03-01
OX16,3308,4066,7374,17047,13553,30600,2021-03-01
OX17,530,643,1173,7340,7135,14475,2021-03-01
OX18,980,1279,2259,9777,8955,18732,2021-03-01
OX20,211,272,483,1888,1932,3820,2021-03-01
OX23,0,0,0,1,0,1,2021-03-01
OX25,413,554,967,4308,4182,8490,2021-03-01
OX26,2012,2478,4490,12905,11285,24190,2021-03-01
OX27,264,331,595,2880,2832,5712,2021-03-01
OX28,1410,1654,3064,9702,8884,18586,2021-03-01
OX29,961,1103,2064,9968,9632,19600,2021-03-01
OX33,323,354,677,3090,2925,6015,2021-03-01
OX39,214,263,477,3288,3180,6468,2021-03-01
OX44,246,379,625,3323,3203,6526,2021-03-01
OX49,137,169,306,1688,1707,3395,2021-03-01
PA00,0,0,0,1,0,1,2021-03-01
PA01,1677,1729,3406,6872,5482,12354,2021-03-01
PA02,2416,3075,5491,12945,11419,24364,2021-03-01
PA03,2084,2508,4592,6793,5363,12156,2021-03-01
PA04,1486,1833,3319,8420,7351,15771,2021-03-01
PA05,1476,1907,3383,6965,5918,12883,2021-03-01
PA06,173,232,405,2609,2588,5197,2021-03-01
PA07,236,300,536,3356,3233,6589,2021-03-01
PA08,780,959,1739,5183,4737,9920,2021-03-01
PA09,68,94,162,733,685,1418,2021-03-01
PA10,151,200,351,1430,1379,2809,2021-03-01
PA11,236,278,514,2189,2185,4374,2021-03-01
PA12,158,190,348,1252,1195,2447,2021-03-01
PA13,164,166,330,1758,1805,3563,2021-03-01
PA14,1256,1561,2817,4651,3941,8592,2021-03-01
PA15,1425,1661,3086,4374,3479,7853,2021-03-01
PA16,2045,2295,4340,8868,7974,16842,2021-03-01
PA17,86,84,170,883,833,1716,2021-03-01
PA18,78,105,183,1005,972,1977,2021-03-01
PA19,552,651,1203,3986,3659,7645,2021-03-01
PA20,354,451,805,2033,1687,3720,2021-03-01
PA21,41,31,72,335,279,614,2021-03-01
PA22,17,6,23,134,141,275,2021-03-01
PA23,742,915,1657,4229,3957,8186,2021-03-01
PA24,21,20,41,219,160,379,2021-03-01
PA25,1,4,5,27,25,52,2021-03-01
PA26,9,6,15,58,43,101,2021-03-01
PA27,19,36,55,290,283,573,2021-03-01
PA28,406,476,882,2450,2118,4568,2021-03-01
PA29,107,97,204,880,770,1650,2021-03-01
PA30,74,69,143,473,478,951,2021-03-01
PA31,210,261,471,2009,1790,3799,2021-03-01
PA32,51,65,116,477,438,915,2021-03-01
PA33,38,39,77,291,264,555,2021-03-01
PA34,677,737,1414,3641,3230,6871,2021-03-01
PA35,54,81,135,586,551,1137,2021-03-01
PA36,2,1,3,19,14,33,2021-03-01
PA37,138,154,292,1174,1102,2276,2021-03-01
PA38,33,34,67,353,340,693,2021-03-01
PA39,3,0,3,1,4,5,2021-03-01
PA40,1,2,3,5,1,6,2021-03-01
PA41,10,11,21,58,55,113,2021-03-01
PA42,51,80,131,415,360,775,2021-03-01
PA43,52,61,113,294,271,565,2021-03-01
PA44,6,12,18,119,108,227,2021-03-01
PA45,11,8,19,61,44,105,2021-03-01
PA46,8,7,15,63,66,129,2021-03-01
PA47,5,9,14,64,58,122,2021-03-01
PA48,23,12,35,113,126,239,2021-03-01
PA49,6,13,19,70,68,138,2021-03-01
PA60,9,15,24,87,74,161,2021-03-01
PA61,6,14,20,55,54,109,2021-03-01
PA62,2,3,5,11,7,18,2021-03-01
PA63,1,0,1,3,2,5,2021-03-01
PA64,4,3,7,46,50,96,2021-03-01
PA65,11,10,21,87,91,178,2021-03-01
PA66,9,11,20,72,73,145,2021-03-01
PA67,18,17,35,100,95,195,2021-03-01
PA68,0,0,0,4,3,7,2021-03-01
PA69,1,1,2,10,8,18,2021-03-01
PA70,4,3,7,24,27,51,2021-03-01
PA71,1,0,1,23,14,37,2021-03-01
PA72,19,20,39,193,184,377,2021-03-01
PA73,5,3,8,26,24,50,2021-03-01
PA74,1,3,4,13,9,22,2021-03-01
PA75,75,79,154,561,547,1108,2021-03-01
PA76,4,5,9,58,65,123,2021-03-01
PA77,22,33,55,250,252,502,2021-03-01
PA78,10,15,25,68,66,134,2021-03-01
PA80,15,12,27,124,98,222,2021-03-01
PA81,3,6,9,13,8,21,2021-03-01
PA82,5,5,10,10,10,20,2021-03-01
PA83,0,0,0,1,1,2,2021-03-01
PA84,0,1,1,1,0,1,2021-03-01
PA85,3,2,5,2,4,6,2021-03-01
PA86,21,33,54,59,54,113,2021-03-01
PA87,26,34,60,39,29,68,2021-03-01
PA88,4,2,6,7,4,11,2021-03-01
PE01,5572,5629,11201,16081,10062,26143,2021-03-01
PE02,3309,4126,7435,17325,14234,31559,2021-03-01
PE03,2597,3282,5879,10166,7450,17616,2021-03-01
PE04,1660,2138,3798,10143,8749,18892,2021-03-01
PE05,37,45,82,634,587,1221,2021-03-01
PE06,1270,1650,2920,14969,14156,29125,2021-03-01
PE07,1990,2545,4535,17654,16004,33658,2021-03-01
PE08,656,782,1438,6986,6608,13594,2021-03-01
PE09,1349,1657,3006,12153,11745,23898,2021-03-01
PE10,887,1113,2000,9188,8680,17868,2021-03-01
PE11,2162,2439,4601,16875,14014,30889,2021-03-01
PE12,1391,1720,3111,16055,14262,30317,2021-03-01
PE13,2162,2294,4456,12898,10762,23660,2021-03-01
PE14,744,859,1603,8900,8131,17031,2021-03-01
PE15,1275,1571,2846,11033,9921,20954,2021-03-01
PE16,405,542,947,4179,3659,7838,2021-03-01
PE17,58,42,100,126,79,205,2021-03-01
PE18,50,77,127,96,78,174,2021-03-01
PE19,2055,2366,4421,16946,15510,32456,2021-03-01
PE20,550,653,1203,5761,5225,10986,2021-03-01
PE21,3073,3071,6144,14629,11597,26226,2021-03-01
PE22,564,630,1194,6725,6141,12866,2021-03-01
PE23,317,355,672,3394,3153,6547,2021-03-01
PE24,492,595,1087,4684,3976,8660,2021-03-01
PE25,1454,1577,3031,7184,5827,13011,2021-03-01
PE26,439,548,987,4552,4137,8689,2021-03-01
PE27,1001,1183,2184,7659,6789,14448,2021-03-01
PE28,1657,1947,3604,19427,18703,38130,2021-03-01
PE29,2010,2415,4425,10472,8802,19274,2021-03-01
PE30,3017,3367,6384,14448,12382,26830,2021-03-01
PE31,523,594,1117,7478,7169,14647,2021-03-01
PE32,466,519,985,6297,6035,12332,2021-03-01
PE33,475,583,1058,5970,5585,11555,2021-03-01
PE34,489,588,1077,5588,5191,10779,2021-03-01
PE35,2,2,4,37,34,71,2021-03-01
PE36,246,276,522,2239,2092,4331,2021-03-01
PE37,402,538,940,4232,3787,8019,2021-03-01
PE38,558,651,1209,5821,5272,11093,2021-03-01
PE99,0,0,0,1,0,1,2021-03-01
PH01,2576,3252,5828,14388,12366,26754,2021-03-01
PH02,1700,1843,3543,12792,11898,24690,2021-03-01
PH03,266,324,590,2611,2544,5155,2021-03-01
PH04,39,53,92,354,360,714,2021-03-01
PH05,24,56,80,335,302,637,2021-03-01
PH06,84,97,181,988,969,1957,2021-03-01
PH07,391,488,879,3253,3003,6256,2021-03-01
PH08,93,105,198,768,747,1515,2021-03-01
PH09,19,41,60,355,326,681,2021-03-01
PH10,472,549,1021,4187,3831,8018,2021-03-01
PH11,137,189,326,1325,1153,2478,2021-03-01
PH12,55,81,136,789,727,1516,2021-03-01
PH13,193,219,412,1583,1371,2954,2021-03-01
PH14,52,68,120,831,831,1662,2021-03-01
PH15,179,216,395,1388,1225,2613,2021-03-01
PH16,177,205,382,1503,1374,2877,2021-03-01
PH17,11,6,17,72,65,137,2021-03-01
PH18,29,41,70,301,258,559,2021-03-01
PH19,1,4,5,43,38,81,2021-03-01
PH20,61,86,147,606,544,1150,2021-03-01
PH21,94,111,205,828,753,1581,2021-03-01
PH22,205,250,455,1227,1123,2350,2021-03-01
PH23,28,32,60,324,325,649,2021-03-01
PH24,19,25,44,297,266,563,2021-03-01
PH25,29,34,63,368,359,727,2021-03-01
PH26,161,171,332,1448,1355,2803,2021-03-01
PH30,0,0,0,6,4,10,2021-03-01
PH31,21,27,48,227,240,467,2021-03-01
PH32,38,41,79,280,227,507,2021-03-01
PH33,723,935,1658,4200,3518,7718,2021-03-01
