pcode_district,provisional_licences_male,provisional_licences_female,provisional_total,full_licences_male,full_licences_female,full_total,file_date
CA16,145,184,329,2570,2401,4971,2019-08-01
CA17,131,172,303,2025,1799,3824,2019-08-01
CA18,8,5,13,120,121,241,2019-08-01
CA19,24,34,58,449,430,879,2019-08-01
CA20,86,95,181,1361,1220,2581,2019-08-01
CA21,24,23,47,326,279,605,2019-08-01
CA22,429,575,1004,3181,2627,5808,2019-08-01
CA23,55,69,124,554,475,1029,2019-08-01
CA24,30,57,87,397,322,719,2019-08-01
CA25,289,413,702,1948,1605,3553,2019-08-01
CA26,146,208,354,1314,1139,2453,2019-08-01
CA27,44,64,108,669,574,1243,2019-08-01
CA28,1385,1733,3118,9745,7980,17725,2019-08-01
CB01,3793,4045,7838,16334,13938,30272,2019-08-01
CB02,1580,1657,3237,7519,6693,14212,2019-08-01
CB03,1140,1309,2449,6573,5915,12488,2019-08-01
CB04,3712,4065,7777,16296,13405,29701,2019-08-01
CB05,1094,1217,2311,4958,4103,9061,2019-08-01
CB06,1331,1604,2935,14637,13346,27983,2019-08-01
CB07,1064,1192,2256,10286,9357,19643,2019-08-01
CB08,1537,1618,3155,12401,11276,23677,2019-08-01
CB09,1531,2076,3607,11427,9798,21225,2019-08-01
CB10,539,643,1182,5679,5386,11065,2019-08-01
CB11,654,775,1429,7283,6866,14149,2019-08-01
CB12,0,0,0,1,1,2,2019-08-01
CB19,0,0,0,1,0,1,2019-08-01
CB21,435,479,914,5276,4932,10208,2019-08-01
CB22,699,707,1406,8126,7498,15624,2019-08-01
CB23,1054,1225,2279,11299,10640,21939,2019-08-01
CB24,1048,1122,2170,11340,10450,21790,2019-08-01
CB25,458,520,978,6021,5530,11551,2019-08-01
CF00,1,0,1,1,0,1,2019-08-01
CF01,88,69,157,154,56,210,2019-08-01
CF02,48,43,91,139,46,185,2019-08-01
CF03,2700,3460,6160,13667,12425,26092,2019-08-01
CF04,46,38,84,167,122,289,2019-08-01
CF05,3977,4847,8824,21090,19179,40269,2019-08-01
CF06,85,73,158,144,66,210,2019-08-01
CF07,13,8,21,71,52,123,2019-08-01
CF08,54,45,99,157,112,269,2019-08-01
CF09,0,0,0,1,0,1,2019-08-01
CF10,1412,1227,2639,4083,2426,6509,2019-08-01
CF11,3424,3278,6702,11258,7988,19246,2019-08-01
CF14,3186,3546,6732,26265,24862,51127,2019-08-01
CF15,559,673,1232,7057,6975,14032,2019-08-01
CF16,0,0,0,0,1,1,2019-08-01
CF18,0,1,1,0,0,0,2019-08-01
CF23,2397,2885,5282,15839,14954,30793,2019-08-01
CF24,5238,4618,9856,12036,8233,20269,2019-08-01
CF31,1942,2379,4321,16020,14570,30590,2019-08-01
CF32,1445,1807,3252,10857,9287,20144,2019-08-01
CF33,751,1002,1753,4999,4296,9295,2019-08-01
CF34,1030,1370,2400,6695,5333,12028,2019-08-01
CF35,470,592,1062,7046,6541,13587,2019-08-01
CF36,538,655,1193,6160,5754,11914,2019-08-01
CF37,2256,2485,4741,12276,9867,22143,2019-08-01
CF38,723,986,1709,8755,8181,16936,2019-08-01
CF39,1390,1970,3360,9695,7921,17616,2019-08-01
CF40,1040,1471,2511,6593,5124,11717,2019-08-01
CF41,509,698,1207,3541,2742,6283,2019-08-01
CF42,702,956,1658,4325,3403,7728,2019-08-01
CF43,696,997,1693,3711,2705,6416,2019-08-01
CF44,1977,2744,4721,13549,11088,24637,2019-08-01
CF45,1157,1528,2685,6143,4718,10861,2019-08-01
CF46,625,862,1487,5193,4546,9739,2019-08-01
CF47,1321,1881,3202,6745,5121,11866,2019-08-01
CF48,1386,1880,3266,9026,7377,16403,2019-08-01
CF61,487,567,1054,3700,3450,7150,2019-08-01
CF62,1948,2371,4319,14748,14046,28794,2019-08-01
CF63,1436,1720,3156,6635,5859,12494,2019-08-01
CF64,1539,1730,3269,13599,13135,26734,2019-08-01
CF71,221,216,437,3919,3846,7765,2019-08-01
CF72,826,1053,1879,10017,9583,19600,2019-08-01
CF81,978,1330,2308,5182,3864,9046,2019-08-01
CF82,928,1162,2090,6998,6053,13051,2019-08-01
CF83,2701,3453,6154,18109,15964,34073,2019-08-01
CH01,2162,2421,4583,9580,7508,17088,2019-08-01
CH02,1623,1975,3598,12705,11353,24058,2019-08-01
CH03,1247,1329,2576,14043,13289,27332,2019-08-01
CH04,1602,2030,3632,12405,11363,23768,2019-08-01
CH05,2181,2676,4857,15089,12870,27959,2019-08-01
CH06,903,1222,2125,5796,4890,10686,2019-08-01
CH06R,0,0,0,1,0,1,2019-08-01
CH07,1766,2295,4061,19138,17900,37038,2019-08-01
CH08,918,1209,2127,7728,6708,14436,2019-08-01
CH09,1,0,1,1,0,1,2019-08-01
CH14,0,0,0,1,0,1,2019-08-01
CH22,0,0,0,0,1,1,2019-08-01
CH24,0,0,0,1,0,1,2019-08-01
CH41,1803,2042,3845,4583,3293,7876,2019-08-01
CH42,2605,3008,5613,8699,7067,15766,2019-08-01
CH43,2178,2425,4603,12861,11405,24266,2019-08-01
CH44,2374,2799,5173,8272,6530,14802,2019-08-01
CH45,1738,1954,3692,10627,9554,20181,2019-08-01
CH46,1520,1833,3353,8367,7371,15738,2019-08-01
CH47,437,518,955,4155,4056,8211,2019-08-01
CH48,595,610,1205,5828,5754,11582,2019-08-01
CH49,1412,1761,3173,10184,9602,19786,2019-08-01
CH60,324,330,654,5431,5385,10816,2019-08-01
CH61,586,671,1257,6609,6482,13091,2019-08-01
CH62,1575,1913,3488,10119,9118,19237,2019-08-01
CH63,1201,1382,2583,10971,10589,21560,2019-08-01
CH64,593,696,1289,7579,7294,14873,2019-08-01
CH65,1969,2380,4349,8963,7413,16376,2019-08-01
